,names,genres,releaseDates,playenv_strs,ratingScores,ratingAmts,newPosts,community_Links,rating_Links
0,던전앤파이터,"장르: RPG, 액션",일정: 출시 (2005.08.10),PC/ON,1.6,2261,477,http://bbs.ruliweb.com/game/2230,http://bbs.ruliweb.com/game/2230/review
1,니어 오토마타,장르: RPG,"일정: 출시 (2017.02.23), 출시 (2017.03.07), 출시 (2017.04.27)",PS4,9.3,113,343,http://bbs.ruliweb.com/game/84289,http://bbs.ruliweb.com/game/84289/review
2,다크 소울 3,"장르: RPG, 액션","일정: 출시 (2016.04.12), 출시 (2016.10.26), 출시 (2017.03.27), 출시 (2016.03.24)",PC/ON PS4 XONE,9.1,270,230,http://bbs.ruliweb.com/game/83787,http://bbs.ruliweb.com/game/83787/review
3,인왕,"장르: RPG, 액션","일정: 출시 (2017.02.07), 출시 (2017.02.09), 출시 (2017.05.02)",PS4,9.1,306,167,http://bbs.ruliweb.com/game/84271,http://bbs.ruliweb.com/game/84271/review
4,유희왕 듀얼 링크스,장르: TCG,일정: 출시 (2016.03.31),Apple ETC,0,0,144,http://bbs.ruliweb.com/game/83995,http://bbs.ruliweb.com/game/83995/review
5,페이트 그랜드 오더,장르: 카드,일정: 출시 (2015.07.30),Apple ETC,7.1,34,76,http://bbs.ruliweb.com/game/83706,http://bbs.ruliweb.com/game/83706/review
6,더 디비전,"장르: 슈팅, 어드벤처, 액션","일정: 출시 (2016.03.08), CBT (2016.01.28)",PC/ON PS4 XONE,7.6,779,70,http://bbs.ruliweb.com/game/81224,http://bbs.ruliweb.com/game/81224/review
7,러브 라이브! 스쿨 아이돌 페스티벌(일어버전),"장르: 카드, 리듬","일정: 출시 (2013.04.14), 출시 (2013.05.31)",Apple ETC,9.1,247,59,http://bbs.ruliweb.com/game/81035,http://bbs.ruliweb.com/game/81035/review
8,블러드본,장르: RPG,일정: 출시 (2015.03.24),PS4,9.1,969,53,http://bbs.ruliweb.com/game/82048,http://bbs.ruliweb.com/game/82048/review
9,MLB 17: 더 쇼,장르: 스포츠,일정: 출시 (2017.03.28),PS4,9.7,20,46,http://bbs.ruliweb.com/game/84307,http://bbs.ruliweb.com/game/84307/review
10,젤다의 전설: 브레스 오브 더 와일드,"장르: RPG, 액션",일정: 출시 (2017.03.03),switch Wii U,9.5,131,37,http://bbs.ruliweb.com/game/84291,http://bbs.ruliweb.com/game/84291/review
11,피파 17,장르: 스포츠,일정: 출시 (2016.09.27),PC/ON ETC PS4 PS3 X360 XONE Apple,6.6,171,37,http://bbs.ruliweb.com/game/84127,http://bbs.ruliweb.com/game/84127/review
12,데스티니,"장르: 액션, FPS","일정: 출시 (2014.10.16), 출시 (2014.09.09), 출시 (2014.09.23), 출시 (2016.09.20)",PS3 X360 PS4 XONE,8.2,892,31,http://bbs.ruliweb.com/game/81510,http://bbs.ruliweb.com/game/81510/review
13,아이돌마스터 신데렐라 걸즈 스타라이트 스테이지,장르: 리듬,일정: 출시 (2015.09.03),ETC,9.5,56,30,http://bbs.ruliweb.com/game/83740,http://bbs.ruliweb.com/game/83740/review
14,월드 사커 위닝 일레븐 2017,장르: 스포츠,일정: 출시 (2016.09.13),PC/ON PS4 XONE,7.5,180,26,http://bbs.ruliweb.com/game/84111,http://bbs.ruliweb.com/game/84111/review
15,그랑블루 판타지,장르: RPG,일정: 출시 (2014.03.10),Apple ETC ETC,9.7,30,21,http://bbs.ruliweb.com/game/82558,http://bbs.ruliweb.com/game/82558/review
16,포켓몬스터 썬/문,장르: RPG,일정: 출시 (2016.11.18),3DS,9.3,47,19,http://bbs.ruliweb.com/game/84030,http://bbs.ruliweb.com/game/84030/review
17,GTA 5,"장르: 어드벤처, 액션","일정: 출시 (2013.09.17), 출시 (2014.11.18), 출시 (2015.04.14)",PS3 X360 PS4 XONE PC/ON,9.1,620,18,http://bbs.ruliweb.com/game/446,http://bbs.ruliweb.com/game/446/review
18,파이널 판타지: 브레이브엑스비어스,장르: RPG,일정: 출시 (2015.10.25),Apple ETC,9.1,23,17,http://bbs.ruliweb.com/game/83796,http://bbs.ruliweb.com/game/83796/review
19,슈퍼로봇대전 V,장르: SRPG,일정: 출시 (2017.02.23),PS4 VITA,9.4,260,15,http://bbs.ruliweb.com/game/84200,http://bbs.ruliweb.com/game/84200/review
20,섬머 레슨,"장르: VR, 시뮬레이션","일정: 출시 (2016.10.30), 출시 (2017.04.27)",PS4,5.7,9,15,http://bbs.ruliweb.com/game/84118,http://bbs.ruliweb.com/game/84118/review
21,테일즈 오브 베르세리아,장르: RPG,일정: 출시 (2016.08.18),PS4 PS3,9.5,44,15,http://bbs.ruliweb.com/game/84084,http://bbs.ruliweb.com/game/84084/review
22,4여신 온라인 사이버 디멘션 넵튠,"장르: RPG, 액션","일정: 출시 (2017.02.09), 출시 (2017.05.18)",PS4,8,6,13,http://bbs.ruliweb.com/game/84272,http://bbs.ruliweb.com/game/84272/review
23,포 아너,장르: 액션,"일정: 출시 (2017.02.14), CBT (2017.01.26)",PC/ON PS4 XONE,8,143,13,http://bbs.ruliweb.com/game/84260,http://bbs.ruliweb.com/game/84260/review
24,용과 같이 6,"장르: 어드벤처, 액션",일정: 출시 (2016.12.08),PS4,3.2,63,13,http://bbs.ruliweb.com/game/84221,http://bbs.ruliweb.com/game/84221/review
25,콜 오브 듀티: 인피니티 워페어,장르: FPS,일정: 출시 (2016.11.04),PC/ON PS4 XONE,7,67,12,http://bbs.ruliweb.com/game/84177,http://bbs.ruliweb.com/game/84177/review
26,액셀 월드 vs 소드 아트 온라인 천년의 황혼,"장르: RPG, 액션","일정: 출시 (2017.03.16), 출시 (2017.04.06)",PS4 VITA,8.7,3,11,http://bbs.ruliweb.com/game/84246,http://bbs.ruliweb.com/game/84246/review
27,데스티니 차일드,장르: RPG,일정: ,,1.4,117,11,http://bbs.ruliweb.com/game/83939,http://bbs.ruliweb.com/game/83939/review
28,다크 소울,"장르: RPG, 액션","일정: 출시 (2011.10.18), 출시 (2012.08.24), 출시 (2012.10.26)",X360 PS3 PC/ON,8.6,519,10,http://bbs.ruliweb.com/game/10017,http://bbs.ruliweb.com/game/10017/review
29,파이널 판타지 15,장르: RPG,일정: 출시 (2016.11.29),PS4 XONE,7.8,524,10,http://bbs.ruliweb.com/game/81313,http://bbs.ruliweb.com/game/81313/review
30,클로저스 4,장르: 액션,"일정: CBT (2014.08.20), OBT (2014.12.23)",PC/ON,6.4,206,10,http://bbs.ruliweb.com/game/81404,http://bbs.ruliweb.com/game/81404/review
31,더 위쳐 3: 와일드 헌트,"장르: RPG, 액션","일정: 출시 (2015.05.19), 출시 (2015.10.13)",PC/ON PS4 XONE,8.2,1786,10,http://bbs.ruliweb.com/game/81593,http://bbs.ruliweb.com/game/81593/review
32,포르자 호라이즌 3,장르: 레이싱,일정: 출시 (2016.09.27),PC/ON XONE,9.7,59,9,http://bbs.ruliweb.com/game/84126,http://bbs.ruliweb.com/game/84126/review
33,배틀필드 1 (2016),장르: FPS,일정: 출시 (2016.10.21),PC/ON PS4 XONE,8.4,85,9,http://bbs.ruliweb.com/game/84113,http://bbs.ruliweb.com/game/84113/review
34,파이어 엠블렘: 에코즈,장르: SRPG,일정: 출시 (2017.04.20),3DS,10,2,8,http://bbs.ruliweb.com/game/84328,http://bbs.ruliweb.com/game/84328/review
35,고스트 리콘: 와일드랜드,장르: TPS,"일정: 출시 (2017.03.07), CBT (2017.02.03)",PC/ON PS4 XONE,8.3,120,8,http://bbs.ruliweb.com/game/84281,http://bbs.ruliweb.com/game/84281/review
36,디아블로 3 영혼을 거두는 자 – 대악마판,장르: RPG,일정: 출시 (2014.08.19),PS3 PS4,8.7,110,8,http://bbs.ruliweb.com/game/81277,http://bbs.ruliweb.com/game/81277/review
37,마리오 카트 8,장르: 레이싱,"일정: 출시 (2014.05.29), 출시 (2017.04.28)",Wii U switch,9.2,49,8,http://bbs.ruliweb.com/game/81561,http://bbs.ruliweb.com/game/81561/review
38,던전 트래블러즈 2-2 타락한 소녀와 시작의 서,장르: RPG,일정: 출시 (2017.04.20),VITA,10,1,7,http://bbs.ruliweb.com/game/84326,http://bbs.ruliweb.com/game/84326/review
39,스나이퍼: 고스트 워리어 3,장르: FPS,일정: 출시 (2017.04.25),PC/ON PS4 XONE,9.5,4,7,http://bbs.ruliweb.com/game/84316,http://bbs.ruliweb.com/game/84316/review
40,파이어 엠블렘 히어로즈,장르: SRPG,일정: 출시 (2017.02.02),ETC,6.7,15,7,http://bbs.ruliweb.com/game/84270,http://bbs.ruliweb.com/game/84270/review
41,호라이즌 제로 던,"장르: RPG, 액션",일정: 출시 (2017.02.28),PS4,9.2,328,6,http://bbs.ruliweb.com/game/84277,http://bbs.ruliweb.com/game/84277/review
42,피리스의 아틀리에 ~신비한 여행의 연금술사~,장르: RPG,"일정: 출시 (2016.11.02), 출시 (2017.02.02)",PS4 VITA,7.9,22,6,http://bbs.ruliweb.com/game/84183,http://bbs.ruliweb.com/game/84183/review
43,도쿄 제나두 eX+,"장르: RPG, 액션","일정: 출시 (2016.09.08), 출시 (2017.04.06)",PS4,8.9,29,6,http://bbs.ruliweb.com/game/84107,http://bbs.ruliweb.com/game/84107/review
44,포켓몬 고,장르: 기타,일정: 출시 (2016.07.06),Apple ETC,7.7,12,6,http://bbs.ruliweb.com/game/84071,http://bbs.ruliweb.com/game/84071/review
45,요괴 워치 3,장르: RPG,"일정: 출시 (2016.07.16), 출시 (2016.12.15)",3DS,0,0,6,http://bbs.ruliweb.com/game/84057,http://bbs.ruliweb.com/game/84057/review
46,파이널 판타지 레코드 키퍼,장르: RPG,일정: 출시 (2014.09.25),Apple ETC Apple,6.4,16,6,http://bbs.ruliweb.com/game/82625,http://bbs.ruliweb.com/game/82625/review
47,스트리트 파이터 5,장르: 격투,"일정: 출시 (2016.02.16), CBT (2015.07.23)",PC/ON PS4,6.7,188,6,http://bbs.ruliweb.com/game/82821,http://bbs.ruliweb.com/game/82821/review
48,슈퍼로봇대전 크로스 오메가,"장르: RPG, 액션",일정: 출시 (2015.10.04),Apple ETC,0,0,6,http://bbs.ruliweb.com/game/83793,http://bbs.ruliweb.com/game/83793/review
49,마녀와 백기병 2,"장르: RPG, 액션","일정: 출시 (2017.02.23), 출시 (2017.05.02)",PS4,8.7,10,5,http://bbs.ruliweb.com/game/84282,http://bbs.ruliweb.com/game/84282/review
50,리틀 나이트메어,장르: 어드벤처,일정: 출시 (2017.04.28),PC/ON PS4 XONE,10,1,5,http://bbs.ruliweb.com/game/84253,http://bbs.ruliweb.com/game/84253/review
51,렛 잇 다이,장르: 액션,"일정: 출시 (2016.12.03), 출시 (2017.02.02)",PS4,9.9,10,5,http://bbs.ruliweb.com/game/84250,http://bbs.ruliweb.com/game/84250/review
52,데드 오어 얼라이브: 익스트림 3,"장르: 스포츠, 액션",일정: 출시 (2016.03.24),VITA PS4,5,156,5,http://bbs.ruliweb.com/game/83797,http://bbs.ruliweb.com/game/83797/review
53,"워해머 40,000: 던 오브 워 3",장르: RTS,일정: 출시 (2017.04.27),PC/ON,10,2,4,http://bbs.ruliweb.com/game/84344,http://bbs.ruliweb.com/game/84344/review
54,드래곤볼 히어로즈: 얼티메이트 미션 X,장르: 어드벤처,일정: 출시 (2017.04.27),3DS,10,2,4,http://bbs.ruliweb.com/game/84336,http://bbs.ruliweb.com/game/84336/review
55,3on3 프리스타일,장르: 스포츠,일정: 출시 (2016.12.07),PS4,6.2,25,4,http://bbs.ruliweb.com/game/83788,http://bbs.ruliweb.com/game/83788/review
56,섀도우버스,장르: TCG,일정: 출시 (2016.06.17),Apple,10,2,4,http://bbs.ruliweb.com/game/84195,http://bbs.ruliweb.com/game/84195/review
57,타이탄폴 2,장르: FPS,일정: 출시 (2016.10.28),PC/ON PS4 XONE,9.1,116,4,http://bbs.ruliweb.com/game/84054,http://bbs.ruliweb.com/game/84054/review
58,판타지 스타 온라인 2,장르: MMORPG,"일정: 출시 (2012.07.04), 출시 (2013.02.28), 출시 (2016.04.20), CBT (2016.02.25)",PC/ON VITA PS4,8.6,94,4,http://bbs.ruliweb.com/game/76401,http://bbs.ruliweb.com/game/76401/review
59,메탈기어 솔리드 5 팬텀페인,장르: 액션,"일정: 출시 (2015.09.02), 출시 (2015.11.27)",PC/ON PS4 PS3 X360 XONE,8.4,290,4,http://bbs.ruliweb.com/game/81322,http://bbs.ruliweb.com/game/81322/review
60,페르소나 5,"장르: RPG, 소셜, 시뮬레이션",일정: 출시 (2016.09.15),PS4 PS3,7.9,61,4,http://bbs.ruliweb.com/game/81494,http://bbs.ruliweb.com/game/81494/review
61,레인보우 식스 : 시즈,장르: FPS,일정: 출시 (2015.12.01),PS4 XONE PC/ON,8.8,163,4,http://bbs.ruliweb.com/game/82050,http://bbs.ruliweb.com/game/82050/review
62,폴아웃 4,장르: FPS,일정: 출시 (2015.11.10),PC/ON PS4 XONE,6.9,298,4,http://bbs.ruliweb.com/game/83486,http://bbs.ruliweb.com/game/83486/review
63,와치독스 2,"장르: 어드벤처, TPS, 액션","일정: 출시 (2016.11.29), 출시 (2016.11.15)",PC/ON PS4 XONE,8.8,72,3,http://bbs.ruliweb.com/game/84191,http://bbs.ruliweb.com/game/84191/review
64,블레이 블루: 센트럴 픽션,장르: 격투,"일정: 출시 (2016.10.06), 출시 (2017.04.26)",PS3 PS4 PC/ON,9,9,3,http://bbs.ruliweb.com/game/84076,http://bbs.ruliweb.com/game/84076/review
65,토귀전 2,장르: 액션,"일정: 출시 (2016.07.28), 출시 (2016.11.24)",VITA PS4,9,32,3,http://bbs.ruliweb.com/game/84068,http://bbs.ruliweb.com/game/84068/review
66,오버워치-PC,장르: FPS,일정: 출시 (2016.05.24),PC/ON,7.8,39,3,http://bbs.ruliweb.com/game/84032,http://bbs.ruliweb.com/game/84032/review
67,다크사이더스,장르: RPG,"일정: 출시 (2010.01.05), 출시 (2010.09.23), 출시 (2016.11.22)",PS3 X360 PC/ON PS4 XONE Wii U,7.6,5,3,http://bbs.ruliweb.com/game/722,http://bbs.ruliweb.com/game/722/review
68,오버워치-콘솔,장르: FPS,"일정: 출시 (2016.05.24), CBT (2015.02.28)",PC/ON PS4 XONE,7,296,3,http://bbs.ruliweb.com/game/82656,http://bbs.ruliweb.com/game/82656/review
69,엑스컴 2,장르: 전략,"일정: 출시 (2016.02.05), 출시 (2016.09.30)",PC/ON PS4 XONE,7.7,47,3,http://bbs.ruliweb.com/game/83436,http://bbs.ruliweb.com/game/83436/review
70,리니지 M,장르: MMORPG,일정: ,,0,0,2,http://bbs.ruliweb.com/game/84364,http://bbs.ruliweb.com/game/84364/review
71,길티기어 Xrd REV 2,장르: 격투,일정: 출시 (2017.05.25),PS3 PS4,0,0,2,http://bbs.ruliweb.com/game/84350,http://bbs.ruliweb.com/game/84350/review
72,프레이 (2017),"장르: 액션, FPS",일정: 출시 (2017.05.05),PC/ON PS4 XONE,0,0,2,http://bbs.ruliweb.com/game/84342,http://bbs.ruliweb.com/game/84342/review
73,플레이어언노운스 배틀그라운드,"장르: 어드벤처, 액션",일정: 출시 (2017.03.23),PC/ON,8,5,2,http://bbs.ruliweb.com/game/84318,http://bbs.ruliweb.com/game/84318/review
74,섬란 카구라 PEACH BEACH SPLASH,"장르: TPS, FPS",일정: 출시 (2017.03.16),PS4,8.6,8,2,http://bbs.ruliweb.com/game/84297,http://bbs.ruliweb.com/game/84297/review
75,버스데이즈 더 비기닝,장르: 시뮬레이션,"일정: 출시 (2017.01.19), 출시 (2017.04.07)",PC/ON PS4,6.2,5,2,http://bbs.ruliweb.com/game/84258,http://bbs.ruliweb.com/game/84258/review
76,다운타운 난투행진곡 배틀로얄 SP,장르: 액션,"일정: 출시 (2016.12.26), 출시 (2017.04.28)",PS4,10,2,2,http://bbs.ruliweb.com/game/84248,http://bbs.ruliweb.com/game/84248/review
77,SD건담 G 제너레이션 제네시스,장르: SRPG,일정: 출시 (2016.11.22),PS4 VITA,8.8,57,2,http://bbs.ruliweb.com/game/84196,http://bbs.ruliweb.com/game/84196/review
78,NBA 2K17,장르: 스포츠,일정: 출시 (2016.09.20),PS4 PS3 XONE X360 PC/ON,8.5,13,2,http://bbs.ruliweb.com/game/84120,http://bbs.ruliweb.com/game/84120/review
79,퍼즐 앤 드래곤 크로스 신의 장/용의 장,장르: RPG,일정: 출시 (2016.07.06),3DS,0,0,2,http://bbs.ruliweb.com/game/84073,http://bbs.ruliweb.com/game/84073/review
80,튀어나와요 동물의 숲,장르: 시뮬레이션,일정: 출시 (2013.02.07),3DS,8.8,164,2,http://bbs.ruliweb.com/game/80519,http://bbs.ruliweb.com/game/80519/review
81,베요네타 2,장르: 액션,일정: 출시 (2014.09.20),Wii U,9.4,35,2,http://bbs.ruliweb.com/game/81078,http://bbs.ruliweb.com/game/81078/review
82,히어로즈 오브 더 스톰,장르: AOS,"일정: 출시 (2015.06.03), CBT (2015.01.15), OBT (2015.05.20)",PC/ON,7.8,36,2,http://bbs.ruliweb.com/game/81429,http://bbs.ruliweb.com/game/81429/review
83,미들 어스: 섀도우 오브 모르도르,"장르: RPG, 액션",일정: 출시 (2014.09.30),PS3 X360 PS4 XONE PC/ON,8.7,125,2,http://bbs.ruliweb.com/game/82382,http://bbs.ruliweb.com/game/82382/review
84,데드 오어 얼라이브 5 라스트 라운드,장르: 격투,"일정: 출시 (2015.03.31), 미정 (2015.02.19)",PC/ON PS4 XONE,7.7,55,2,http://bbs.ruliweb.com/game/82537,http://bbs.ruliweb.com/game/82537/review
85,마계전기 디스가이아 5,장르: SRPG,"일정: 출시 (2015.08.12), 출시 (2017.03.03)",PS4 switch,8.5,126,2,http://bbs.ruliweb.com/game/82538,http://bbs.ruliweb.com/game/82538/review
86,보더랜드: 핸썸 콜렉션,장르: FPS,일정: 출시 (2014.03.27),PS4 XONE,10,1,2,http://bbs.ruliweb.com/game/82963,http://bbs.ruliweb.com/game/82963/review
87,아웃라스트 2,장르: 어드벤처,일정: 출시 (2017.04.25),PC/ON PS4 XONE,0,0,1,http://bbs.ruliweb.com/game/84357,http://bbs.ruliweb.com/game/84357/review
88,모두 와글와글! 스필런커,"장르: 어드벤처, 액션",일정: 출시 (2017.04.20),switch,0,0,1,http://bbs.ruliweb.com/game/84325,http://bbs.ruliweb.com/game/84325/review
89,Re:제로부터 시작하는 이세계 생활,장르: 어드벤처,일정: 출시 (2017.03.30),PS4 VITA,10,1,1,http://bbs.ruliweb.com/game/84311,http://bbs.ruliweb.com/game/84311/review
90,바이킹: 미드가르드의 늑대,"장르: RPG, 액션","일정: 출시 (2017.03.24), 출시 (2017.03.28)",PC/ON PS4 XONE,7.8,13,1,http://bbs.ruliweb.com/game/84315,http://bbs.ruliweb.com/game/84315/review
91,얼터너티브 걸즈,"장르: VR, RPG",일정: 출시 (2017.03.20),Apple,0,0,1,http://bbs.ruliweb.com/game/84309,http://bbs.ruliweb.com/game/84309/review
92,바이오 하자드 7,"장르: VR, 어드벤처, FPS",일정: 출시 (2017.01.24),PC/ON PS4 XONE,9.1,135,1,http://bbs.ruliweb.com/game/84254,http://bbs.ruliweb.com/game/84254/review
93,아키바스 비트,"장르: RPG, 액션","일정: 출시 (2016.12.15), 출시 (2017.04.27)",PS4 VITA,4.7,3,1,http://bbs.ruliweb.com/game/84227,http://bbs.ruliweb.com/game/84227/review
94,디스아너드 2,장르: 액션,일정: 출시 (2016.11.11),PC/ON PS4 XONE,6.7,19,1,http://bbs.ruliweb.com/game/84190,http://bbs.ruliweb.com/game/84190/review
95,시드 마이어의 문명 6,장르: 시뮬레이션,일정: 출시 (2016.10.21),PC/ON,9,6,1,http://bbs.ruliweb.com/game/84156,http://bbs.ruliweb.com/game/84156/review
96,WWE 2K17,장르: 스포츠,일정: 출시 (2016.10.11),PS4 PS3 XONE X360 PC/ON,8.3,12,1,http://bbs.ruliweb.com/game/84146,http://bbs.ruliweb.com/game/84146/review
97,하츠네 미쿠 VR 퓨쳐 라이브,"장르: VR, 뮤직, 리듬",일정: 출시 (2016.10.13),PS4,0,0,1,http://bbs.ruliweb.com/game/84140,http://bbs.ruliweb.com/game/84140/review
98,기어스 오브 워 4,장르: TPS,일정: 출시 (2016.10.11),XONE PC/ON,8.2,33,1,http://bbs.ruliweb.com/game/84011,http://bbs.ruliweb.com/game/84011/review
99,세계수의 미궁 5: 오랜 신화의 끝,장르: RPG,일정: 출시 (2016.08.04),3DS,10,2,1,http://bbs.ruliweb.com/game/84080,http://bbs.ruliweb.com/game/84080/review
100,EA 스포츠 UFC 2,"장르: 격투, 스포츠, 액션",일정: 출시 (2016.03.15),PS4 XONE,7.6,35,1,http://bbs.ruliweb.com/game/83958,http://bbs.ruliweb.com/game/83958/review
101,헤일로 워즈 2,장르: RTS,일정: 출시 (2017.02.21),PC/ON XONE,8.8,4,1,http://bbs.ruliweb.com/game/83982,http://bbs.ruliweb.com/game/83982/review
102,마피아 3,"장르: 어드벤처, 액션",일정: 출시 (2016.10.07),PC/ON PS4 XONE,5.4,56,1,http://bbs.ruliweb.com/game/84013,http://bbs.ruliweb.com/game/84013/review
103,에일리어네이션,"장르: 슈팅, 액션",일정: 출시 (2016.04.26),PS4,9.4,29,1,http://bbs.ruliweb.com/game/84024,http://bbs.ruliweb.com/game/84024/review
104,철권 태그 토너먼트 2,"장르: 격투, 액션","일정: 출시 (2012.09.13), 출시 (2012.11.18), OBT (2011.05.16)",PS3 X360 Wii U ETC,8.4,146,1,http://bbs.ruliweb.com/game/74,http://bbs.ruliweb.com/game/74/review
105,SD건담 캡슐파이터,장르: 액션,"일정: 출시 (2007.02.27), 서비스종료 (2015.05.29)",PC/ON,7.1,177,1,http://bbs.ruliweb.com/game/1460,http://bbs.ruliweb.com/game/1460/review
106,워록,장르: FPS,일정: 출시 (2005.05.05),PC/ON,10,1,1,http://bbs.ruliweb.com/game/1724,http://bbs.ruliweb.com/game/1724/review
107,그라나도 에스파다,장르: MMORPG,일정: 출시 (2006.02.14),PC/ON,2.5,32,1,http://bbs.ruliweb.com/game/2574,http://bbs.ruliweb.com/game/2574/review
108,바이오 하자드 4,"장르: 어드벤처, 액션","일정: 출시 (2005.10.25), 출시 (2011.09.08), 출시 (2007.05.31), 출시 (2005.01.11), 출시 (2016.08.31), 출시 (2007.03.01), 출시 (2010.12.18)",ETC PS3 Wii X360 ETC PS4 PC/ON XONE Apple Apple,7.4,22,1,http://bbs.ruliweb.com/game/2916,http://bbs.ruliweb.com/game/2916/review
109,리그 오브 레전드,장르: AOS,일정: 출시 (2011.12.12),PC/ON,6.9,146,1,http://bbs.ruliweb.com/game/9995,http://bbs.ruliweb.com/game/9995/review
110,프로젝트 카스,장르: 레이싱,"일정: 출시 (2015.05.07), 출시 (2015.05.12), 개발중단 (2015.07.21)",PC/ON PS4 XONE Wii U,7.7,54,1,http://bbs.ruliweb.com/game/80270,http://bbs.ruliweb.com/game/80270/review
111,데드스페이스 3,장르: 액션,일정: 출시 (2013.02.05),PC/ON PS3 X360,8.1,84,1,http://bbs.ruliweb.com/game/80321,http://bbs.ruliweb.com/game/80321/review
112,크라이시스 3,장르: 액션,일정: 출시 (2013.06.30),PC/ON PS3 X360,7,18,1,http://bbs.ruliweb.com/game/80322,http://bbs.ruliweb.com/game/80322/review
113,SD건담 G 제너레이션 프론티어(일어버전),장르: 카드,일정: 출시 (2013.04.11),Apple ETC,8,65,1,http://bbs.ruliweb.com/game/80992,http://bbs.ruliweb.com/game/80992/review
114,다크 소울 2,"장르: RPG, 액션","일정: 출시 (2014.04.25), 출시 (2014.03.11), 출시 (2015.04.03)",PC/ON PS3 X360 PS4 XONE,8.8,302,1,http://bbs.ruliweb.com/game/81260,http://bbs.ruliweb.com/game/81260/review
115,워프레임,장르: FPS,"일정: 출시 (2013.03.25), 출시 (2013.12.17)",PC/ON PS4,8.9,11,1,http://bbs.ruliweb.com/game/81541,http://bbs.ruliweb.com/game/81541/review
116,이볼브,장르: FPS,"일정: 출시 (2015.02.10), CBT (2014.11.01), OBT (2015.01.15), OBT (2015.01.17)",PC/ON PS4 XONE,8.2,74,1,http://bbs.ruliweb.com/game/81610,http://bbs.ruliweb.com/game/81610/review
117,그래비티 러쉬 2,"장르: 어드벤처, 액션",일정: 출시 (2017.01.18),PS4,8.8,39,1,http://bbs.ruliweb.com/game/81686,http://bbs.ruliweb.com/game/81686/review
118,더 크루,장르: 레이싱,"일정: 출시 (2014.12.02), OBT (2014.11.25)",PC/ON PS4 XONE,7.9,34,1,http://bbs.ruliweb.com/game/81699,http://bbs.ruliweb.com/game/81699/review
119,디비니티: 오리지널 신,장르: RPG,"일정: 출시 (2015.10.27), 출시 (2016.05.04), 출시 (2015.11.30), 미정 (2014.06.30)",PS4 XONE PC/ON,9.6,50,1,http://bbs.ruliweb.com/game/81706,http://bbs.ruliweb.com/game/81706/review
120,테일즈 오브 제스티리아,장르: RPG,"일정: 출시 (2015.01.22), 출시 (2015.10.16), 출시 (2015.10.20)",PS3 PS4 PC/ON,2.2,116,1,http://bbs.ruliweb.com/game/81712,http://bbs.ruliweb.com/game/81712/review
121,어쌔신 크리드: 유니티,"장르: 어드벤처, 액션",일정: 출시 (2014.11.13),PC/ON PS4 XONE,7.1,239,1,http://bbs.ruliweb.com/game/81965,http://bbs.ruliweb.com/game/81965/review
122,"걸프렌드(가제) 호화성우, 귀로 모에한 학원연애 게임","장르: 연애, 시뮬레이션",일정: 출시 (2013.11.30),Apple ETC,8.1,10,1,http://bbs.ruliweb.com/game/82125,http://bbs.ruliweb.com/game/82125/review
123,철권 7,장르: 격투,"일정: 출시 (2015.03.17), 출시 (2017.06.02)",ETC PC/ON PS4 XONE,10,1,1,http://bbs.ruliweb.com/game/82170,http://bbs.ruliweb.com/game/82170/review
124,오메가 퀸텟,장르: RPG,일정: 출시 (2015.02.06),PS4,8.5,56,1,http://bbs.ruliweb.com/game/82306,http://bbs.ruliweb.com/game/82306/review
125,나루토 질풍전: 나루티밋 스톰 4,장르: 액션,"일정: 출시 (2016.02.02), 출시 (2017.01.24)",PC/ON PS4 XONE,7.4,38,1,http://bbs.ruliweb.com/game/82837,http://bbs.ruliweb.com/game/82837/review
126,제노블레이드 3D,장르: RPG,일정: 출시 (2015.05.01),3DS,0,0,1,http://bbs.ruliweb.com/game/83209,http://bbs.ruliweb.com/game/83209/review
127,스플래툰,장르: TPS,일정: 출시 (2015.05.28),Wii U,9.7,41,1,http://bbs.ruliweb.com/game/83243,http://bbs.ruliweb.com/game/83243/review
128,라이즈 오브 더 툼레이더,"장르: VR, 어드벤처, 액션","일정: 출시 (2015.11.10), 출시 (2016.01.29), 출시 (2016.10.11)",XONE PC/ON PS4,8.8,88,1,http://bbs.ruliweb.com/game/83525,http://bbs.ruliweb.com/game/83525/review
129,카오스 차일드,장르: 어드벤처,"일정: 출시 (2015.06.25), 출시 (2017.03.09), 출시 (2014.12.18), 출시 (2016.04.28)",PS3 PS4 XONE VITA PC/ON,8.7,16,1,http://bbs.ruliweb.com/game/83546,http://bbs.ruliweb.com/game/83546/review
130,요시 울 월드,장르: 액션,"일정: 출시 (2015.07.16), 출시 (2017.01.19), 출시 (2017.03.04)",Wii U 3DS,10,2,1,http://bbs.ruliweb.com/game/83610,http://bbs.ruliweb.com/game/83610/review
131,드래곤 퀘스트 11,장르: RPG,일정: 출시 (2016.11.30),3DS PS4,0,0,1,http://bbs.ruliweb.com/game/83676,http://bbs.ruliweb.com/game/83676/review
132,포켓몬 초 불가사의 던전,장르: RPG,"일정: 출시 (2015.09.17), 출시 (2015.11.20)",3DS,0,0,1,http://bbs.ruliweb.com/game/83726,http://bbs.ruliweb.com/game/83726/review
133,하이퍼 유니버스,장르: 액션,일정: OBT (2016.11.22),PC/ON,6,15,1,http://bbs.ruliweb.com/game/83831,http://bbs.ruliweb.com/game/83831/review
