,names,genres,releaseDates,playenv_strs,ratingScores,ratingAmts,newPosts,community_Links,rating_Links
3697,파이널 판타지 9,장르: RPG,"일정: 출시 (2000.07.07), 출시 (2010.06.08)",PS2 PSN,9,5,0,http://bbs.ruliweb.com/game/3455,http://bbs.ruliweb.com/game/3455/review
3698,정문의 삼국지,"장르: 전략, 시뮬레이션",일정: 출시 (2001.11.01),PC/ON,0,0,0,http://bbs.ruliweb.com/game/3456,http://bbs.ruliweb.com/game/3456/review
3699,왈플기스의 낮과 밤,장르: 어드벤처,일정: 출시 (2000.06.16),ETC,0,0,0,http://bbs.ruliweb.com/game/3457,http://bbs.ruliweb.com/game/3457/review
3700,실피드 더 로스트 플래닛,"장르: 비행, 시뮬레이션",일정: 출시 (2002.09.26),ETC,0,0,0,http://bbs.ruliweb.com/game/3458,http://bbs.ruliweb.com/game/3458/review
3701,풍래의 시렌 2: 귀신습격! 시렌성!,장르: 어드벤처,일정: 출시 (2000.09.27),ETC,0,0,0,http://bbs.ruliweb.com/game/3459,http://bbs.ruliweb.com/game/3459/review
3702,실황 파워풀 프로야구 2000,장르: 스포츠,일정: 출시 (2000.07.19),PS2 ETC ETC,0,0,0,http://bbs.ruliweb.com/game/3460,http://bbs.ruliweb.com/game/3460/review
3703,메달로트 3,장르: 액션,일정: 출시 (2000.07.23),ETC,0,0,0,http://bbs.ruliweb.com/game/3461,http://bbs.ruliweb.com/game/3461/review
3704,세가 테트리스,장르: 퍼즐,일정: 출시 (2000.11.23),ETC,0,0,0,http://bbs.ruliweb.com/game/3462,http://bbs.ruliweb.com/game/3462/review
3705,쿨 쿨 톤,"장르: 리듬, 액션",일정: 출시 (2000.08.14),ETC,0,0,0,http://bbs.ruliweb.com/game/3463,http://bbs.ruliweb.com/game/3463/review
3706,젯 셋 라디오,장르: 스포츠,일정: 출시 (2000.06.29),ETC ETC,0,0,0,http://bbs.ruliweb.com/game/3464,http://bbs.ruliweb.com/game/3464/review
